Gene Accession	Gene Symbol	Human gene	Family	Availability	pigmentation phenotype	normal phenotype	nervous system phenotype	renal/urinary system phenotype	muscle phenotype	liver/biliary system phenotype	limbs/digits/tail phenotype	adipose tissue phenotype	homeostasis/metabolism phenotype	hearing/vestibular/ear phenotype	growth/size/body region phenotype	endocrine/exocrine gland phenotype	embryo phenotype	digestive/alimentary phenotype	craniofacial phenotype	cellular phenotype	cardiovascular system phenotype	behavior/neurological phenotype	immune system phenotype	respiratory system phenotype	reproductive system phenotype	skeleton phenotype	vision/eye phenotype	taste/olfaction phenotype	hematopoietic system phenotype	mortality/aging	integument phenotype
MGI:2182928	Adgrf5	ADGRF5	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Deviance Significant	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2446854	Adgrg2	ADGRG2	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1859670	Adgrg3	ADGRG3	GPCR	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685213	Adgrg4	ADGRG4	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685955	Adgrg5	ADGRG5	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1916151	Adgrg6	ADGRG6	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2441732	Adgrg7	ADGRG7	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2655562	Adgrl4	ADGRL4	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:109248	Chrm5	CHRM5	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2136761	Fzd10	FZD10	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685211	Gpr101	GPR101	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:101909	Gpr12	GPR12	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1890220	Gpr132	GPR132	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2676315	Gpr135	GPR135	GPCR	Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2147529	Gpr137	GPR137	GPCR	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685341	Gpr139	GPR139	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2672983	Gpr141	GPR141	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2668437	Gpr142	GPR142	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data
MGI:107193	Gpr143	GPR143	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1933113	Gpr146	GPR146	GPCR	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2443628	Gpr149	GPR149	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1918473	Gpr15	GPR15	GPCR	Mice em1|Mice em1|phenotype data available	Could not analyse	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call
MGI:2441872	Gpr150	GPR150	GPCR	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2441887	Gpr151	GPR151	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685519	Gpr152	GPR152	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1916157	Gpr153	GPR153	GPCR	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2653880	Gpr156	GPR156	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:2442046	Gpr157	GPR157	GPCR	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1919112	Gpr160	GPR160	GPCR	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685054	Gpr161	GPR161	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1315214	Gpr162	GPR162	GPCR	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3584514	Gpr17	GPR17	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2442043	Gpr171	GPR171	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1918021	Gpr173	GPR173	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	No data	Deviance Significant
MGI:2685222	Gpr174	GPR174	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:107859	Gpr18	GPR18	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:109545	Gpr182	GPR182	GPCR	ES Cells|Mice tm2a|Mice tm2b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2442034	Gpr183	GPR183	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:892973	Gpr19	GPR19	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data
MGI:2441803	Gpr20	GPR20	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:2441890	Gpr21	GPR21	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1920260	Gpr22	GPR22	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2686146	Gpr25	GPR25	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	Deviance Significant
MGI:2441758	Gpr26	GPR26	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1202299	Gpr27	GPR27	GPCR	Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:101908	Gpr3	GPR3	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1354372	Gpr31b	GPR31	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1346334	Gpr34	GPR34	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	No data	Deviance Significant
MGI:1929509	Gpr35	GPR35	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1313297	Gpr37	GPR37	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1928503	Gpr37l1	GPR37L1	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1918361	Gpr39	GPR39	GPCR	Mice em1|Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2441992	Gpr4	GPR4	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2135882	Gpr45	GPR45	GPCR	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1333877	Gpr50	GPR50	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	No data	Deviance Significant	No data	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data
MGI:3643278	Gpr52	GPR52	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685064	Gpr55	GPR55	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2155249	Gpr6	GPR6	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2441719	Gpr61	GPR61	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	No data	No data	Could not analyse	Deviance Significant	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:3525078	Gpr62	GPR62	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2135884	Gpr63	GPR63	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	No data	Deviance Significant	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	No data
MGI:108031	Gpr65	GPR65	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant
MGI:2441763	Gpr68	GPR68	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:2441843	Gpr75	GPR75	GPCR	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2441734	Gpr82	GPR82	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
